ID,Barcode,Nombre,Precio,Stock,Vence,Ingreso
261,3451159025920,Pampers Huggies VERDE varios,10.00,3001,2024-08-02,2022-08-07 09:52:16
262,7872662990776,Pampers Huggies AMARILLO ,360.00,2850,2024-07-19,2022-08-07 09:52:16
263,7122507127127,Boquitas Diana CHURRITOS ,6.00,1056,2024-07-08,2022-08-07 09:52:16
264,8384871237300,SERVILLETA CARMESI CLASICA,20.00,0,2023-11-10,2022-08-07 09:52:16
265,8842953998636,Cuaderno de Tarea LATINO,12.00,0,2024-01-25,2022-08-07 09:52:16
266,5856958346265,SERVILLETA ROSAL PLUS,23.00,8,2024-04-22,2022-08-07 09:52:16
267,4775037268360,CUADERNO Universitario PEQUEÑO,20.00,453,2024-03-09,2022-08-07 09:52:16
268,1838049306345,Boquitas RANCHITAS 1x36u,7.00,21996,2024-08-02,2022-08-07 09:52:16
269,7044571451239,DELISOYA ristra CHOCOLATE,12.00,526,2024-07-26,2022-08-07 09:52:16
270,2897989994974,SOPA VASO ISSIMA ,20.00,11,1990-12-31,2022-08-07 09:52:16
271,9192105218099,Leche CONDENSA PEQUEÑA,30.00,250,2024-08-02,2022-08-07 09:52:16
272,8653071498140,Caramelo GELATINA TARRO,105.00,0,1990-12-31,2022-08-07 09:52:16
273,4857274672428,Papel NEVAX  1x4,125.00,46,2024-07-26,2022-08-07 09:52:17
274,5913728602287,Galleta ESCOLAR,4.00,4378,2024-08-05,2022-08-07 09:52:17
275,8422943153780,Papel NEVAX 1x6,185.00,23,2024-07-08,2022-08-07 09:52:17
276,6102128574051,Papel ENCANTO 1,000hjs,29.00,238,2024-07-26,2022-08-07 09:52:17
277,1591348261509,CHOCO CHOCO DISPENSADOR,12.00,416,2024-06-10,2022-08-07 09:52:17
278,4256204914131,SALSA LIZANO 130ml,33.00,159,2024-08-02,2022-08-07 09:52:17
279,4559838752613,Nido NAN #1 400gr,342.00,4,2024-06-06,2022-08-07 09:52:17
280,9381154825505,PASTA NATURAS SIMPLE,19.00,2122,2024-08-05,2022-08-07 09:52:17
281,1954918822157,Nido ESENCIAL 460gr,140.00,84,2024-07-26,2022-08-07 09:52:17
282,4267999363875,Lechera 110gr,55.00,2139,2024-08-02,2022-08-07 09:52:17
283,2009217969870,Caramelo Leche DE BURRA XIXI,1.00,64,2024-06-13,2022-08-07 09:52:17
284,8907055108625,Nestogeno #2 400gr,185.00,56,2024-08-05,2022-08-07 09:52:17
285,8971273649772,SABA CLASICA,25.00,464,2024-08-02,2022-08-07 09:52:17
286,8944699757116,Nestogeno N#1 400gr,190.00,52,2024-08-05,2022-08-07 09:52:17
287,9332744925563,Galleta OREO ,9.00,1412,2024-08-05,2022-08-07 09:52:17
288,7833922912235,SHAMPOO HEAD SHOULDER 10 ML,6.00,1204,2024-05-24,2022-08-07 09:52:17
289,6612433724794,Nestogeno N#2 900gr,370.00,56,2024-08-05,2022-08-07 09:52:17
290,6252465962827,COLGATE DISPENSADOR 22ml ,15.00,364,2024-08-05,2022-08-07 09:52:17
291,6658078673493,PRESTO 250gr,252.00,38,2024-07-05,2022-08-07 09:52:17
292,2750569637183,BATICHOCO 300 GRAMO,55.00,0,1990-12-31,2022-08-07 09:52:17
293,2834099098031,Leche ANCHOR 350gr,145.00,33,2024-05-13,2022-08-07 09:52:17
294,6360054101431,Nido 1,600gr,635.00,46,2024-08-02,2022-08-07 09:52:17
295,2816805416803,MARGARINA CREMY 450gr,12.00,410,2024-08-02,2022-08-07 09:52:17
296,4908721407565,Galleta RITZ SALADA ,7.00,5350,2024-07-26,2022-08-07 09:52:17
297,9558236993012,Nido 2,200gr,558.00,0,1990-12-31,2022-08-07 09:52:17
298,2622819295590,Caramelo CHOCOBOLA TARRO ,185.00,69,2024-08-05,2022-08-07 09:52:17
299,9311439489160,PRESTO SOBRE 1x80,3.00,16441,2024-08-02,2022-08-07 09:52:17
300,6093999268814,DESODORANTE REXONA 50g,78.00,6,2024-08-02,2022-08-07 09:52:17
301,8330426672324,LEVADURA INSTAM ,88.00,54,2024-08-02,2022-08-07 09:52:18
302,1300217456799,LEVADURA FLEISCHMAN,80.00,0,1990-12-31,2022-08-07 09:52:18
303,7440459324808,DESODORANTE ODORIT 60g,38.00,363,2024-08-05,2022-08-07 09:52:18
304,9417741334805,Papel NEVAX 1,000hjs,33.00,189,2024-08-02,2022-08-07 09:52:18
305,4746769689723,JUGOS YA,7.00,1914,2024-06-16,2022-08-07 09:52:18
306,5867817954415,Caramelo CHOCOBOLA EN BOLSA 495gr,2.00,13373,2024-07-26,2022-08-07 09:52:18
308,8297262601034,Caramelo CHICLE TUMIX ,1.00,6262,2024-07-26,2022-08-07 09:52:18
309,7414017944159,CEPILLO COLGATE CLASICC,15.00,1284,2024-07-22,2022-08-07 09:52:18
310,8801903935701,Pastilla DOLOFIN ADULTO,3.00,3400,2024-07-26,2022-08-07 09:52:18
311,2622288408873,Pastilla DICLOFENAC 50mg DICLORARPE,2.00,3972,2023-10-17,2022-08-07 09:52:18
312,4810487990963,Leche PINITO 350gr,125.00,131,2024-07-22,2022-08-07 09:52:18
313,6499029685338,MANTECA CLOVER,38.00,163,2024-08-05,2022-08-07 09:52:18
314,2961281516452,SOPA MAGGI RISTRA ,8.00,1,2024-05-05,2022-08-07 09:52:18
315,2258446255609,Pasta ISSIMA SIMPLE ,15.00,1490,2024-08-02,2022-08-07 09:52:18
316,6751091499610,LECHE CONDENSADA GRANDE 387,78.00,156,2024-08-02,2022-08-07 09:52:18
317,5383581106930,SOFRITO ISSIMA CRIOLLO,15.00,167,2024-06-27,2022-08-07 09:52:18
318,1799865153271,PRESTO 50gr,60.00,584,2024-08-02,2022-08-07 09:52:18
319,1179024973986,CANDELA PURISIMA,3.00,4147,2024-07-26,2022-08-07 09:52:18
320,6247181275269,SABOR Y COLOR MAGGI,5.00,960,2024-08-05,2022-08-07 09:52:18
321,5255104371258,CANELA Favora Ristra,4.00,3728,2024-08-05,2022-08-07 09:52:18
322,7240916590971,PIMIENTA Favora Ristra,4.00,7427,2024-08-05,2022-08-07 09:52:18
323,6018593328924,SAL DE CEBOLLA Favora Ristra,3.00,3888,2024-05-05,2022-08-07 09:52:18
324,3929798879704,TropiKuhl SURTIDO,5.00,1572,2024-07-26,2022-08-07 09:52:18
325,7952498400530,PRESTO 150gr,158.00,380,2024-08-02,2022-08-07 09:52:18
326,7883285359895,Bombom VENUS ,3.00,1379,2024-07-26,2022-08-07 09:52:18
327,5817947779563,ACEITE CORONA 1 LITRO ,65.00,0,1990-12-31,2022-08-07 09:52:18
328,9760899949200,CHORICITO LA SIRENA,44.00,83,2024-07-22,2022-08-07 09:52:18
329,9820685811583,CHIRLITO 35gr,8.00,0,2024-06-21,2022-08-07 09:52:18
330,9967938517875,SUAVITEL RISTRA 80ml,10.00,1555,2024-08-05,2022-08-07 09:52:18
331,5578804234860,ACEITE VEGETAL CHORRIADO,20.00,881,2024-07-27,2022-08-07 09:52:18
332,7182469927944,Nido CEREAL TRIGO MIEL 200gr,65.00,1461,2024-08-02,2022-08-07 09:52:18
333,9427625686913,PEGA LOCA ,5.00,3209,2024-08-05,2022-08-07 09:52:18
334,2476118329407,LAPIZ GRAFITO MONGOL,7.00,4251,2024-05-24,2022-08-07 09:52:18
335,6358377184330,LAPICERO BIG,6.00,45,2023-11-25,2022-08-07 09:52:18
336,1613006378609,BALDE VACIO,160.00,117,1990-12-31,2022-08-07 09:52:18
337,2038488391196,CUADERNO Universitario LATINO,28.00,150,2024-03-30,2022-08-07 09:52:19
338,4081004742734,FOSFORO GAVILAN ,2.00,0,1990-12-31,2022-08-07 09:52:19
339,6912691433293,SHAMPOO Ricitos de Oro 400ml,138.00,5,1990-12-31,2022-08-07 09:52:19
340,4680329024305,Jabon RINZO 340gr,20.00,253,2024-07-26,2022-08-07 09:52:19
